order_id,customer_id,product_id,quantity,order_date,status
1001,57,144,2,2022-01-01,Shipped
1002,52,126,4,2022-01-08,Delivered
1003,13,132,1,2022-01-15,Cancelled
1004,41,106,4,2022-01-22,Pending
1005,3,132,4,2022-01-29,Pending
1006,39,104,1,2022-02-05,Cancelled
1007,6,111,2,2022-02-12,Pending
1008,8,117,1,2022-02-19,Cancelled
1009,27,138,4,2022-02-26,Pending
1010,9,124,2,2022-03-05,Shipped
1011,37,105,4,2022-03-12,Pending
1012,33,134,1,2022-03-19,Cancelled
1013,51,106,1,2022-03-26,Cancelled
1014,42,122,4,2022-04-02,Cancelled
1015,44,111,3,2022-04-09,Cancelled
1016,24,148,3,2022-04-16,Cancelled
1017,15,116,1,2022-04-23,Delivered
1018,59,133,1,2022-04-30,Delivered
1019,54,109,3,2022-05-07,Pending
1020,32,106,3,2022-05-14,Cancelled
1021,32,116,4,2022-05-21,Pending
1022,24,129,4,2022-05-28,Cancelled
1023,41,103,3,2022-06-04,Cancelled
1024,52,120,4,2022-06-11,Delivered
1025,49,136,4,2022-06-18,Delivered
1026,49,119,2,2022-06-25,Shipped
1027,58,126,4,2022-07-02,Delivered
1028,52,103,1,2022-07-09,Shipped
1029,12,119,4,2022-07-16,Shipped
1030,39,120,4,2022-07-23,Shipped
1031,2,132,3,2022-07-30,Shipped
1032,3,107,1,2022-08-06,Shipped
1033,49,141,4,2022-08-13,Pending
1034,37,133,4,2022-08-20,Delivered
1035,49,140,2,2022-08-27,Shipped
1036,56,139,4,2022-09-03,Cancelled
1037,17,118,4,2022-09-10,Delivered
1038,59,140,2,2022-09-17,Delivered
1039,49,101,3,2022-09-24,Shipped
1040,2,111,4,2022-10-01,Pending
1041,2,128,2,2022-10-08,Shipped
1042,28,125,1,2022-10-15,Pending
1043,54,150,3,2022-10-22,Cancelled
1044,23,123,1,2022-10-29,Delivered
1045,37,131,1,2022-11-05,Cancelled
1046,32,130,2,2022-11-12,Pending
1047,33,142,4,2022-11-19,Pending
1048,1,135,2,2022-11-26,Cancelled
1049,19,107,2,2022-12-03,Pending
1050,2,116,2,2022-12-10,Cancelled
